cluster,num,lon,lat,pH,EC,GWC,per_clay,per_sand,per_silt,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Ti,Zn,per_som,PerN,PerC,CNRatio,Ele
15,5,-94.23546058,36.0663411,6.2,125.5,0.118295877,10.08175,23.25,66.66825,37.5,0.008,1.52,128,0.013,0.039,0.01,0.118,28.4,4.24,1.89,4.96,0,7.01,0.067,1.22,1.24,0.04,0.206,34.915,0.209767893,2.336047649,11.13634491,375.187
16,1,-94.23526293,36.06653307,5.83,118.1,0.187746796,8.0654,21,70.9346,42.1,0,1.59,164,0.004,0.028,0.012,0.146,30,4.56,4.3,2.77,0,8.29,0.094,0.882,0.913,0.029,0.222,3.5725,0.225460812,2.292239904,10.16691017,375.167
16,2,-94.23523329,36.06651588,5.54,96,0.200711132,8.456325,21.625,69.918675,49.5,0.005,1.56,134,0.004,0.021,0.015,0.1,29.6,4.39,5.49,1.46,0.001,7.82,0.072,0.854,1.06,0.031,0.182,3.775,0.220551267,2.435394287,11.04230499,375.117
16,3,-94.23518377,36.06653199,5.59,112.6,0.212720514,7.77735,18.75,73.47265,50.1,0.004,1.61,175,0.004,0.024,0.016,0.117,34.2,5.31,6.82,1.88,0.002,9.44,0.088,0.913,1.21,0.032,0.23,3.5,0.219511643,2.390062332,10.88808918,375.063
16,4,-94.23515863,36.06643712,5.95,132.2,0.202601483,7.139525,24.25,68.610475,38.4,0,1.66,186,0.004,0.037,0.012,0.109,31.6,4.43,4.64,4.63,0,9.5,0.074,0.572,0.983,0.03,0.206,3.9075,0.214741617,2.471407652,11.50874996,375.223
16,5,-94.23507422,36.06642864,6.02,136.4,0.217593357,6.8309,20.875,72.2941,46.6,0.007,1.49,211,0.004,0.021,0.014,0.118,27.4,4.31,8.14,1.99,0.001,9.35,0.061,0.551,0.832,0.136,0.18,3.61,0.218854591,2.26748085,10.36067295,375.086
17,1,-94.23505847,36.06641689,6.21,167.4,0.225017444,6.3371,17.125,76.5379,44.5,0.008,1.46,230,0.004,0.022,0.012,0.126,23.4,3.87,7.93,2.32,0.001,9.68,0.061,0.458,0.834,0.025,0.153,2.455,0.192224562,1.943181157,10.10891151,375.105
17,2,-94.23489832,36.06634634,5.95,122.5,0.197462977,9.731975,23.875,66.393025,41.9,0.006,1.56,164,0.003,0.031,0.012,0.108,32.8,4.32,3.96,2.7,0.001,10.3,0.083,0.733,1.11,0.033,0.188,4.2125,0.235748947,2.919059992,12.38207054,375.184
17,3,-94.23490305,36.06624965,6.07,90.1,0.212434194,11.542575,29.375,59.082425,47.8,0,1.69,141,0.004,0.014,0.009,0.143,21.4,4.68,4.21,2.5,0.001,4.21,0.061,2.52,0.967,0.035,0.194,3.7975,0.227593467,2.601700544,11.43134975,375.671
17,4,-94.23501164,36.06633868,6.2,127.5,0.179301962,7.94195,20.75,71.30805,42.6,0.001,1.5,159,0.003,0.029,0.013,0.106,25.6,3.89,3.4,2.79,0.001,7.9,0.069,0.57,0.848,0.026,0.148,3.0275,0.188441887,2.169362783,11.51210499,375.15
17,5,-94.23498597,36.066302,5.58,68.5,0.232712686,10.8636,26.75,62.3864,54.5,0.005,1.65,105,0.003,0.011,0.009,0.135,23.4,4.33,3.16,1.6,0.001,4.16,0.043,1.89,1,0.033,0.133,3.83,0.208015263,2.503688812,12.03608227,375.45197
18,1,-94.23524392,36.06639342,6.18,97.7,0.183544288,12.530175,24.875,62.594825,40.8,0,1.58,120,0.004,0.033,0.007,0.099,18.7,3.4,4.65,4.38,0,4.29,0.088,2.37,0.764,0.034,0.194,4.98,0.213327512,2.408558607,11.29042625,375.746
18,2,-94.23519094,36.06636612,5.3,159.9,0.190557511,10.5344,22.625,66.8406,51.1,0.002,1.61,97.4,0.003,0.032,0.008,0.075,25,4.63,1.74,3.99,0.001,5.64,0.071,1.1,1.13,0.034,0.12,2.89,0.195154279,2.058821917,10.54971409,375.51
18,3,-94.2351088,36.06628132,6.02,150.1,0.215898941,7.407,13.875,78.718,40.8,0.004,1.47,214,0.003,0.031,0.014,0.119,28.3,5.59,7.97,2.6,0.001,8.01,0.069,0.567,0.831,0.028,0.162,3.0025,0.205473676,1.961565733,9.546554565,375.118
18,4,-94.23526504,36.06625089,5.67,89.2,0.189042932,8.044825,17.25,74.705175,42.5,0.005,1.71,142,0.003,0.044,0.011,0.117,29.7,4.22,2.69,4.4,0,7.02,0.06,0.974,0.839,0.028,0.226,3.72,0.208052203,2.341274023,11.25330067,375.26505
18,5,-94.23517324,36.06626588,5.97,136.8,0.115286051,9.50565,15.5,74.99435,31.8,0,1.67,131,0.004,0.032,0.009,0.116,28,4.56,4.26,4.28,0,16.5,0.082,1.04,1.24,0.041,0.222,4.1,0.222608373,2.514183044,11.29419804,375.13
19,1,-94.23541671,36.06613705,6.7,184.6,0.194182238,6.9132,15.375,77.7118,30,0.019,1.59,248,0.004,0.042,0.008,0.158,26.2,4.99,5.79,5.74,0,13.2,0.081,1.31,0.863,0.026,0.232,3.7575,0.233379692,2.587700129,11.08794022,375.131
19,2,-94.23530242,36.06619755,4.89,84.5,0.214340121,6.357675,16.125,77.517325,54.2,0.008,1.75,130,0.003,0.041,0.022,0.094,40.3,6.23,5.07,2.29,0.001,7.22,0.08,0.91,1.2,0.041,0.185,3.9475,0.233170018,2.494025946,10.6961689,375.055
19,3,-94.23530159,36.06612621,5.86,362,0.141770707,8.8884,17.125,73.9866,39.9,0.005,1.71,145,0.003,0.03,0.013,0.094,35.1,4.48,6.08,3.28,0.001,16.6,0.093,1.02,1.34,0.041,0.224,2.9775,0.207575917,2.312875032,11.14230919,375.093
19,4,-94.23524749,36.06614247,6.61,255,0.197579902,6.028475,15.375,78.596525,38.7,0.015,1.58,284,0.004,0.061,0.01,0.136,30.4,6.43,13.2,4.91,0.001,9.36,0.083,0.957,1.33,0.027,0.222,4.0125,0.221200585,2.346842289,10.60956669,375.198
19,5,-94.23518698,36.06619151,5.25,170.4,0.224288485,7.262975,12.875,79.862025,48.5,0.009,1.58,197,0.002,0.035,0.017,0.148,31.4,7.47,9.78,1.9,0.001,12,0.073,0.732,2.17,0.032,0.219,3.2225,0.217082784,2.343218088,10.79412174,375.114
20,1,-94.23502886,36.06626348,5.64,87.4,0.219078821,8.908975,25.625,65.466025,47.5,0.005,1.72,135,0.004,0.015,0.009,0.121,24.1,5.88,3.35,2.54,0.001,3.89,0.05,1.75,1.01,0.029,0.177,3.61,0.202737495,2.425701141,11.96473885,375.394
20,2,-94.23504007,36.0661952,6.08,135.7,0.157404292,5.370075,21.25,73.379925,40.2,0.013,1.64,174,0.003,0.03,0.012,0.111,25.7,5.18,5.89,2.8,0,7.97,0.076,1.05,1.04,0.025,0.166,3.535,0.194023073,1.900444508,9.794940948,375.22104
20,3,-94.23496286,36.0662052,5.68,75.4,0.1766469,10.966475,25.5,63.533525,55.7,0,1.75,102,0.005,0.012,0.007,0.122,23.9,5.44,4.1,2.05,0.001,3.71,0.063,2.81,1.24,0.031,0.22,4.25,0.227379605,2.507561922,11.02808666,375.65002
20,4,-94.2348843,36.06614569,6.31,198,0.160507396,7.715625,22.25,70.034375,30.3,0.013,1.68,176,0.004,0.027,0.008,0.135,27.7,3.72,2.84,5.2,0.001,13,0.073,1.24,1.97,0.031,0.236,3.805,0.226713195,2.33076334,10.28066921,375.304
20,5,-94.23488307,36.06609378,5.67,103.1,0.298334058,5.946175,17.125,76.928825,54.5,0.01,1.84,166,0.003,0.022,0.022,0.055,46.7,6.3,6.73,1.61,0,10,0.068,0.673,1.24,0.045,0.195,3.74,0.187612355,1.923407197,10.25202847,375.20898
21,1,-94.23499382,36.066087,5.37,104.4,0.275600528,5.287775,13,81.712225,53,0.014,1.84,190,0.004,0.031,0.019,0.206,47.8,7.02,9.09,1.99,0.002,12.2,0.078,0.631,1.66,0.062,0.291,4.325,0.234730884,2.30486083,9.819163322,375.20398
21,2,-94.23508838,36.06607998,6.41,241,0.181876251,5.4318,21.625,72.9432,32.5,0.015,1.73,202,0.004,0.027,0.012,0.137,36.7,4.95,6.69,3.23,0,18.6,0.097,0.984,3.78,0.049,0.263,4.44,0.221687436,2.314882517,10.44210052,375.05
21,3,-94.23519894,36.06606479,6.67,139,0.144311546,6.110775,18.25,75.639225,26.7,0.011,1.82,172,0.008,0.025,0.011,0.175,27.3,4.45,5.27,4.45,0,17.1,0.07,0.688,1.07,0.053,0.283,3.575,0.198034734,2.088646889,10.54687119,375.09
21,4,-94.23533113,36.06606113,6.55,184.3,0.251610148,4.8557,15.375,79.7693,42.8,0.015,1.83,194,0.004,0.021,0.016,0.117,34.2,5.92,6.4,2.24,0.001,25.7,0.059,0.754,2.07,0.041,0.197,3.68,0.208238989,2.218862295,10.65536404,375.167
21,5,-94.2353879,36.06601761,5.43,147.3,0.291249195,7.7362,15.875,76.3888,55.7,0.018,1.95,261,0.004,0.034,0.016,0.043,47.9,8.6,8.47,2.2,0,16.4,0.068,1.1,2.23,0.057,0.322,5.8725,0.313629448,3.343338966,10.66015625,375.156
22,1,-94.23544975,36.06597804,5.46,110.2,0.184710469,4.300175,15.625,80.074825,51.3,0.021,2.01,148,0.003,0.025,0.018,0.058,46.7,5.38,5.87,2.33,0.002,19,0.154,0.873,1.43,0.074,0.243,3.805,0.210687995,2.347453356,11.14184666,375.169
22,2,-94.23524115,36.06594337,5.35,130,0.248967113,16.08965,15.875,68.03535,59.1,0.017,1.84,172,0.003,0.022,0.019,0.098,40.4,7.74,15.9,1.9,0,17.6,0.079,0.68,2.12,0.036,0.215,4.41,0.232821792,2.492624283,10.70614719,375.088
22,3,-94.23522557,36.06592128,5.3,109.5,0.210615568,4.07385,16.5,79.42615,50.3,0.016,1.89,155,0.004,0.023,0.017,0.057,46.5,6.53,11.8,2.18,0.001,16.2,0.077,0.749,1.79,0.06,0.238,4.5575,0.239526913,2.461140156,10.27500439,375.07303
22,4,-94.23539637,36.06587586,6.15,149.4,0.492954448,10.513825,18.5,70.986175,28.2,0.011,1.85,113,0.004,0.013,0.01,0.066,34,3.42,3.38,2.52,0,13,0.08,1.11,1.61,0.057,0.215,3.0675,0.17017822,1.782517552,10.47441673,375.109
22,5,-94.23543074,36.06587681,6.45,118.5,0.21257788,6.439975,18.875,74.685025,31,0.021,1.81,134,0.003,0.018,0.012,0.081,37.9,3.87,3.29,2.74,0,16.3,0.051,0.924,1.48,0.064,0.188,3.12,0.188412517,1.928044677,10.2331028,375.118
23,1,-94.2350696,36.06603147,6.32,173.5,0.251898903,4.56765,15.5,79.93235,56.3,0.018,1.88,185,0.003,0.033,0.044,0.055,44.2,7.28,10.8,2.78,0.001,21.6,0.078,0.776,2.24,0.057,0.177,3.42,0.219950408,2.102813244,9.560397148,375.05502
23,2,-94.23510147,36.06599421,5.78,151.2,0.285392762,4.89685,12.125,82.97815,58.8,0.018,1.84,187,0.003,0.034,0.045,0.052,44.3,7.06,10.8,2.85,0.001,21.8,0.08,0.71,2.21,0.055,0.184,3.67,0.219449967,2.376577616,10.82970142,375.1
23,3,-94.2350626,36.06590764,6.08,204,0.285562762,4.6911,13.625,81.6839,50.4,0.013,1.51,292,0.003,0.032,0.018,0.117,33.3,6.08,13.3,2.17,0,10.9,0.07,0.409,1.22,0.026,0.131,3.5,0.224473819,2.428240299,10.81747627,375.054
23,4,-94.2349088,36.06597778,6.16,137.7,0.261628902,9.361625,14.25,76.388375,45.9,0.021,1.86,187,0.004,0.023,0.033,0.065,47.4,5.43,6.12,3.53,0.001,14.1,0.073,1.14,1.32,0.062,0.218,3.605,0.221027538,2.470892668,11.1791172,375.063
23,5,-94.234958,36.06588008,6.8,236,0.324428982,6.0079,18.5,75.4921,43.4,0.023,1.65,237,0.002,0.047,0.038,0.107,34.9,6.59,10.9,4.58,0,6.46,0.071,0.698,1.24,0.035,0.162,3.18,0.182502002,2.106994152,11.54504681,375.203
24,1,-94.23544175,36.06567718,5.4,87.6,0.285486667,8.291725,12.5,79.208275,49.5,0.011,4,200,0.003,0.039,0.015,0.102,41.4,7.17,8.92,3.01,0.001,11,0.097,0.813,1.1,0.05,0.272,3.5725,0.22450003,2.369626045,10.55512619,375.196
24,2,-94.23538306,36.06581712,6.1,125.6,0.20765128,12.571325,21,66.428675,22,0.008,4.28,113,0.003,0.015,0.005,0.085,26.6,3.54,3.93,3.14,0.001,13.9,0.053,1.14,1.89,0.043,0.182,3.4725,0.187192097,2.056937218,10.98837662,375.158
24,3,-94.23530383,36.06571792,5.63,89.5,0.370321226,12.283275,14.625,73.091725,41.8,0.019,4.31,196,0.003,0.035,0.016,0.097,41.2,6.3,7,2.34,0.001,12,0.067,0.79,1.01,0.055,0.2,3.2225,0.213321164,2.054436207,9.630719185,375.20996
24,4,-94.23530278,36.0656848,5.69,105.6,0.191210638,13.394325,15,71.605675,50,0.021,4.39,212,0.003,0.04,0.02,0.084,44.1,7.08,7.13,2.27,0,12.5,0.091,0.576,1,0.06,0.219,2.675,0.221477255,2.296527386,10.36913395,375.151
24,5,-94.23525344,36.06562724,5.62,95.6,0.296359442,10.5344,14.5,74.9656,46.4,0.012,3.92,206,0.002,0.051,0.016,0.131,34.6,5.51,6.51,2.77,0.001,11.6,0.073,0.361,0.825,0.04,0.137,2.415,0.18447642,1.927335382,10.4475975,375.091
25,1,-94.2351796,36.06587414,5.55,188.4,0.242418865,18.208875,16.25,65.541125,41.1,0.013,3.66,208,0.003,0.029,0.016,0.141,28.7,7.11,13.5,1.8,0,16.9,0.072,0.544,2.41,0.032,0.19,3.72,0.22768344,2.350053787,10.32158375,375.062
25,2,-94.23521385,36.06582317,6.11,174.8,0.259153883,18.47635,16.25,65.27365,35,0.012,3.81,223,0.003,0.027,0.013,0.146,30.4,5.83,11.1,2.49,0,15.7,0.066,0.57,1.2,0.068,0.167,4.1875,0.238695666,2.633438349,11.03261948,375.06802
25,3,-94.23511268,36.06577043,5.37,141.8,0.250423719,20.9042,14.25,64.8458,33.1,0.015,4.2,150,0.004,0.037,0.013,0.098,40.1,4.67,9.02,3.86,0,17.4,0.089,1.1,2.06,0.053,0.22,4.11,0.230886564,2.477483749,10.73030758,375.16098
25,4,-94.23517408,36.06575645,5.38,202,0.269626412,19.073025,16.875,64.051975,38.1,0.018,4.32,188,0.003,0.032,0.017,0.119,42.7,6.95,12.2,2.35,0,17.6,0.083,0.79,4.51,0.056,0.21,4.7575,0.234731168,2.668331146,11.36760521,375.127
25,5,-94.23513261,36.0657061,5.56,95.7,0.186746411,21.542025,15.125,63.332975,31.8,0.021,4.35,167,0.004,0.032,0.017,0.099,42.6,5.57,7.54,3.04,0,14.1,0.085,1.05,1.34,0.072,0.257,3.275,0.226107523,2.44766736,10.82523632,375.099
26,1,-94.23503702,36.0657091,5.44,9.6,0.278271011,6.316525,20.125,73.558475,42,0.01,4.48,194,0.003,0.046,0.02,0.071,47.2,8.07,11.6,3.36,0,15.7,0.077,0.903,1.52,0.062,0.221,3.13,0.235564113,2.513164043,10.66870499,375.23596
26,2,-94.235,36.0657,6.38,127.6,0.136922775,6.193075,18,75.806925,48.2,0.01,4.17,195,0.003,0.056,0.02,0.27,39.8,5.46,14.9,3.58,0.001,16.2,0.091,0.46,3.14,0.042,0.164,2.4575,0.175081432,1.866624236,10.66146278,375.093
26,3,-94.23485288,36.0658804,6.51,123.8,0.417489145,8.250575,22.75,68.999425,36.9,0.01,4.13,169,0.002,0.027,0.013,0.113,25.7,4.14,4.84,3.74,0.001,7.73,0.05,1.1,0.828,0.032,0.144,3.1975,0.161809936,1.972200394,12.18837643,375.237
26,4,-94.23483022,36.06575885,6.3,105.5,0.2891151,10.431525,23.75,65.818475,38.6,0.017,4.23,165,0.002,0.035,0.012,0.109,33,4.19,5.37,3.48,0,9.1,0.074,0.693,0.858,0.05,0.196,3.8875,0.213020399,2.265536308,10.63530254,375.072
26,5,-94.23484282,36.06566305,5.78,52,0.333297594,14.464225,26.125,59.410775,55.7,0.004,1.99,100,0.003,0.024,0.008,0.083,22.7,4.25,3.51,3.06,0.002,4.28,0.089,2.38,1.11,0.027,0.129,3.81,0.194313586,2.057935476,10.59079552,375.532
27,1,-94.23478588,36.06563332,5.99,69.9,0.387253966,13.435475,27.375,59.189525,52.7,0,1.52,120,0.004,0.027,0.008,0.112,22.7,3.77,4.01,3.6,0.001,4.49,0.103,1.99,1.05,0.029,0.152,4.285,0.241475925,2.623808384,10.86571407,375.563
27,2,-94.23478994,36.06569649,6.15,95.5,0.390623661,15.122625,27.5,57.377375,47.8,0.004,1.49,168,0.004,0.038,0.011,0.13,26.9,5.19,3.81,6.5,0.003,6.3,0.061,1.68,1.35,0.032,0.209,4.395,0.252167255,3.065426588,12.15632343,375.358
27,3,-94.23463966,36.06566773,5.79,87.9,0.346139535,9.2176,16.25,74.5324,54.9,0.008,1.5,142,0.003,0.021,0.026,0.106,37.7,4.55,7.49,2.31,0.001,7.44,0.071,0.582,1.12,0.044,0.159,3.91,0.195365861,2.151891232,11.01467419,375.185
27,4,-94.23463413,36.06562974,5.87,86.5,0.400289714,10.57555,23.125,66.29945,46.9,0.012,1.54,146,0.002,0.022,0.019,0.087,36.8,3.04,5.53,2.23,0,5.76,0.057,0.605,0.797,0.044,0.155,3.64,0.183767438,2.090985775,11.37843418,375.196
27,5,-94.23451416,36.06565361,5.38,81,0.401734284,10.74015,21,68.25985,57.3,0.012,1.65,142,0.003,0.021,0.02,0.079,43.1,5.51,7.87,2.58,0,7.82,0.055,0.631,0.996,0.056,0.287,4.08,0.224674344,2.430654287,10.81856632,375.122
28,1,-94.23472293,36.06597059,6.84,265,0.354164768,13.805825,28.875,57.319175,58.1,0,1.64,135,0.003,0.014,0.014,0.078,22,4.75,2.89,2.49,0.001,3.19,0.058,1.93,1.19,0.033,0.158,3.67,0.185757577,2.235955,12.03695202,375.315
28,2,-94.23472818,36.06590651,6.28,77.3,0.346053574,12.63305,30.25,57.11695,53.7,0.006,1.61,113,0.003,0.012,0.012,0.07,24.2,4.25,2.62,2,0,4.79,0.047,1.62,1.05,0.038,0.133,4.0525,0.208711073,2.289676666,10.97055721,375.24704
28,3,-94.23465206,36.06595582,5.74,59.7,0.26810529,13.641225,32.125,54.233775,66.4,0.006,1.65,106,0.003,0.01,0.01,0.089,23.7,4.07,4.35,1.6,0.002,3.04,0.056,3.2,1.44,0.035,0.165,3.97,0.232769638,2.385079622,10.24652386,375.685
28,4,-94.23463964,36.06585871,6.08,82.2,0.321729213,13.764675,32.5,53.735325,55.8,0,1.6,123,0.003,0.016,0.013,0.095,22.6,3.48,1.75,2.89,0.001,3.16,0.049,1.75,1.04,0.036,0.127,4.2025,0.209555537,2.112917662,10.08285332,375.31003
28,5,-94.23486047,36.06596322,6.13,116.7,0.256493933,9.279325,18,72.720675,48,0.018,1.67,224,0.003,0.026,0.017,0.097,43,5,9.32,2.84,0.001,9.46,0.062,0.967,1.02,0.039,0.217,4.2275,0.250095695,2.610305309,10.4372263,375.098
29,1,-94.23461725,36.06583291,6.23,108.6,0.347406517,11.995225,29,59.004775,52.7,0.004,1.55,132,0.003,0.019,0.016,0.111,25.8,3.53,2,2.64,0.001,4.4,0.068,1.08,1.09,0.035,0.149,3.245,0.191666156,2.132410049,11.12564754,375.243
29,2,-94.2345479,36.06578096,6.05,107.1,0.362182248,12.777075,19.5,67.722925,45.9,0.011,1.63,187,0.003,0.026,0.016,0.11,41.5,4.75,8.38,3.09,0.001,8.02,0.062,0.873,1.11,0.046,0.276,4.715,0.235568509,2.82998085,12.01340866,375.176
29,3,-94.23447558,36.06578485,6.41,92.2,0.365763568,3.765225,15.125,81.109775,49.1,0.005,1.41,116,0.002,0.027,0.021,0.089,24.3,2.03,9.17,4.8,0.002,11,0.054,0.21,0.533,0.032,0.055,1.315,0.09077061,0.907557011,9.998357773,375.19598
29,4,-94.23438157,36.06579257,5.69,93.1,0.268795054,9.67025,20.125,70.20475,50.7,0.014,1.63,165,0.003,0.021,0.019,0.087,40.3,5.63,10.1,2.78,0.001,8.8,0.062,0.673,0.997,0.051,0.2,3.8975,0.227393702,2.557152033,11.2454834,375.174
29,5,-94.23471838,36.06592244,6.11,91.9,0.342305178,14.11445,33.625,52.26055,40.2,0.012,1.48,199,0.003,0.024,0.013,0.115,34.7,4.47,8.35,2.5,0,8.42,0.053,0.897,0.884,0.034,0.204,4.19,0.209232658,2.421036243,11.57102489,375.288
30,1,-94.23425458,36.06574249,5.89,117.8,0.257196285,10.061175,18,71.938825,40.5,0.014,1.57,225,0.003,0.037,0.015,0.099,40.4,7.54,13.5,2.95,0.001,8.86,0.085,0.526,1.25,0.051,0.187,4.5875,0.221126318,2.501918316,11.31443024,375.14996
30,2,-94.23442146,36.06563765,5.74,83.6,0.302497664,9.91715,13.625,76.45785,54.8,0.011,1.49,154,0.003,0.022,0.021,0.108,32,5.85,11.8,3.52,0,8.14,0.057,0.488,0.88,0.034,0.157,3.195,0.163305506,2.004460812,12.27430058,375.182
30,3,-94.23435262,36.0656422,6.18,140.5,0.371391166,11.377975,18.5,70.122025,42.2,0.01,1.59,189,0.003,0.029,0.017,0.131,32.6,4.92,8.14,3.32,0.001,6.96,0.084,0.541,0.809,0.042,0.199,3.35,0.201930642,2.520502806,12.48202229,375.103
30,4,-94.23430907,36.06563789,5.95,97.3,0.291856246,11.254525,16.75,71.995475,44.7,0.009,1.53,170,0.003,0.025,0.016,0.112,35,4.99,9.41,2.32,0,8.83,0.059,0.47,0.861,0.043,0.22,3.475,0.200576931,2.448004484,12.20481586,375.128
30,5,-94.23422194,36.06565994,6,100.4,0.323190422,10.596125,15.125,74.278875,49.4,0.011,1.69,208,0.004,0.024,0.017,0.088,42.4,6.88,11.6,2.75,0.001,9.69,0.066,0.622,1.01,0.047,0.22,3.2325,0.205093712,2.271000624,11.07299042,375.05402
